               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  71,            0.035819,             0.01362,            0.025356,             0.53578,                   1,              0.6612,             0.38887,            0.020265,           0.0036304,            0.017004,             0.00538,             0.00538,             0.00538
                  72,            0.034154,            0.014848,            0.024077,             0.50954,                   1,             0.67553,             0.39707,            0.021158,           0.0035039,            0.016846,            0.005314,            0.005314,            0.005314
                  73,            0.033844,            0.013512,            0.024268,             0.51001,                   1,               0.712,             0.41789,             0.01997,           0.0037561,            0.016736,            0.005248,            0.005248,            0.005248
                  74,            0.042026,            0.011414,            0.024327,             0.50651,                   1,             0.69693,             0.41887,            0.020713,            0.003715,            0.016675,            0.005182,            0.005182,            0.005182
                  75,            0.036131,            0.014108,            0.025102,             0.50372,             0.92857,             0.66934,               0.359,            0.022819,           0.0037545,            0.016541,            0.005116,            0.005116,            0.005116
                  76,            0.033749,            0.012586,            0.024982,             0.49875,             0.92857,             0.67287,             0.42759,            0.019594,           0.0036272,            0.016553,             0.00505,             0.00505,             0.00505
                  77,            0.027408,            0.011265,            0.022648,             0.49979,             0.92857,             0.66822,             0.40707,            0.021432,           0.0035667,            0.016467,            0.004984,            0.004984,            0.004984
                  78,            0.032767,            0.012366,            0.024502,             0.51969,             0.97131,             0.72381,             0.45202,            0.018479,           0.0035135,            0.016614,            0.004918,            0.004918,            0.004918
                  79,            0.028036,            0.010549,            0.023103,             0.52078,             0.97263,             0.71777,              0.4263,            0.018577,           0.0035151,            0.016687,            0.004852,            0.004852,            0.004852
                  80,            0.029655,            0.010369,            0.024769,             0.52606,             0.99225,              0.7102,             0.41446,            0.019996,           0.0036022,            0.016589,            0.004786,            0.004786,            0.004786
                  81,            0.032444,            0.010818,            0.023649,             0.51642,             0.92857,             0.71603,             0.40363,            0.019839,            0.003777,            0.016351,             0.00472,             0.00472,             0.00472
                  82,            0.030266,            0.013527,            0.023095,             0.51267,             0.92857,             0.71967,             0.41651,            0.020642,           0.0038141,            0.016547,            0.004654,            0.004654,            0.004654
                  83,            0.035041,            0.013489,            0.023507,             0.49361,             0.92857,             0.72833,              0.4094,            0.020426,           0.0038552,            0.016589,            0.004588,            0.004588,            0.004588
                  84,            0.029771,            0.011177,            0.023302,             0.48153,             0.92857,             0.70401,             0.43213,            0.019743,           0.0038415,            0.016559,            0.004522,            0.004522,            0.004522
                  85,            0.031791,            0.011204,            0.023339,             0.50485,             0.92857,             0.71641,             0.42958,            0.021685,           0.0038335,            0.016486,            0.004456,            0.004456,            0.004456
                  86,             0.03425,            0.012636,            0.022428,             0.49713,                   1,             0.73967,             0.46336,            0.019897,            0.003798,            0.016614,             0.00439,             0.00439,             0.00439
                  87,            0.026257,             0.01104,            0.022061,             0.49066,             0.97457,             0.71146,             0.44602,            0.019857,           0.0037835,            0.016815,            0.004324,            0.004324,            0.004324
                  88,            0.031811,            0.012662,            0.020742,             0.49876,                   1,             0.75673,             0.47845,            0.019995,           0.0038318,            0.016711,            0.004258,            0.004258,            0.004258
                  89,            0.032435,             0.01496,            0.021879,             0.51405,                   1,             0.80184,              0.4754,            0.019613,           0.0038834,            0.016638,            0.004192,            0.004192,            0.004192
                  90,            0.029018,            0.012126,            0.019758,             0.55533,                   1,             0.76687,             0.46261,            0.019962,           0.0037053,            0.016351,            0.004126,            0.004126,            0.004126
                  91,            0.030618,            0.011554,            0.021018,             0.58878,                   1,              0.8005,             0.50931,            0.019871,           0.0036215,            0.016046,             0.00406,             0.00406,             0.00406
                  92,            0.026981,            0.010718,            0.018214,             0.60249,             0.85714,             0.82294,             0.51032,            0.020155,           0.0036594,            0.015942,            0.003994,            0.003994,            0.003994
                  93,            0.026554,            0.011447,            0.015918,             0.74629,             0.85714,             0.80287,              0.5057,            0.020325,           0.0036876,            0.015601,            0.003928,            0.003928,            0.003928
                  94,            0.027195,            0.010788,            0.018097,             0.63875,             0.85714,             0.83228,             0.48123,            0.020684,           0.0037021,            0.015509,            0.003862,            0.003862,            0.003862
                  95,            0.030698,            0.011907,             0.01629,             0.73135,             0.85714,             0.77756,             0.47482,            0.019691,           0.0035925,            0.015295,            0.003796,            0.003796,            0.003796
                  96,             0.02957,            0.011344,            0.017854,              0.7554,             0.85714,             0.80092,             0.50797,            0.018764,           0.0035852,            0.014502,             0.00373,             0.00373,             0.00373
                  97,            0.030531,            0.011375,            0.019445,             0.72201,             0.85714,             0.79894,             0.47329,            0.021141,           0.0035587,            0.013971,            0.003664,            0.003664,            0.003664
                  98,            0.038384,            0.011177,            0.017519,             0.74367,             0.85714,             0.80369,             0.50319,            0.019768,           0.0035224,            0.013489,            0.003598,            0.003598,            0.003598
                  99,            0.027517,           0.0095218,            0.014352,             0.72331,             0.85714,             0.80927,             0.47403,            0.020612,           0.0036207,            0.013495,            0.003532,            0.003532,            0.003532
                 100,             0.02891,             0.01083,            0.016357,             0.74264,             0.85714,             0.81196,             0.48842,            0.019648,           0.0036779,            0.013306,            0.003466,            0.003466,            0.003466
                 101,            0.028768,            0.013083,            0.014532,             0.71883,             0.85714,             0.82033,             0.49185,            0.021025,           0.0037432,            0.012936,              0.0034,              0.0034,              0.0034
                 102,            0.031697,            0.012086,            0.014087,             0.70409,             0.85714,             0.88107,             0.53479,            0.019132,           0.0038028,            0.013501,            0.003334,            0.003334,            0.003334
                 103,            0.022927,           0.0097986,            0.012892,              0.6718,             0.85714,             0.81137,             0.48922,            0.019279,           0.0039601,            0.015479,            0.003268,            0.003268,            0.003268
                 104,            0.026682,            0.011203,            0.013389,              0.6997,             0.85714,             0.88346,             0.55571,             0.02013,           0.0037521,            0.014545,            0.003202,            0.003202,            0.003202
                 105,              0.0351,            0.011437,            0.017015,             0.78618,             0.85667,              0.8802,             0.50972,            0.019251,           0.0037335,            0.015222,            0.003136,            0.003136,            0.003136
